largest_community_name,membership,avg_plurality,map_color
African American,45145376,0.320405394172212,#5A89A1
Armenian,6470656,0.204257068697832,#aa7129
Cambodian,1377,0.31852879944483,#ae6741
Chinese,18480057,0.233160359365809,#574752
English,1466688,0.171641560499289,#725d3f
Filipino,858114,0.25740665557319,#B9A450
German,27013140,0.160730709602388,#D99E39
Guatemalan,10074,0.343877762246237,#505c83
Indian,9580,0.158315438455964,#352B6C
Iranian,829940,0.185323790897056,#232332
Irish,2195264,0.177201566773597,#405A56
Israeli,587,0.131555356342447,#272a37
Italian,71838,0.426609417346632,#696935
Japanese,57932,0.234484076970402,#9a6047
Korean,3691560,0.19748458826302,#E0C087
Mexican,4615564704,0.321933362085329,#B87824
Polish,380,0.152671755725191,#AB4C3C
Russian,1089540,0.157459124831151,#AF6235
