largest_community_name,membership,avg_plurality,map_color
African American,517502370,0.491624619623359,#5A89A1
Chinese,167330,0.434557852804494,#574752
Filipino,2038,0.0850004704763478,#B9A450
German,50948470,0.218633805393371,#D99E39
Greek,1646,0.11362604620004,#1F1C2D
Indian,124135,0.180954071324766,#352B6C
Irish,20128284,0.254300615962562,#405A56
Italian,61272,0.245686966369006,#696935
Korean,6039,0.149280481776934,#E0C087
Mexican,224024320,0.394559041403889,#B87824
Polish,15212912,0.231790485973898,#AB4C3C
Puerto Rican,56016,0.275729742878759,#363A3D
Romanian,266,0.101371951219512,#8B9CB3
Russian,54252,0.154365165631526,#AF6235
Ukrainian,596,0.173356602675974,#3E5779
