largest_community_name,membership,avg_plurality,map_color,group
African American,10506480,0.223334508,#5A89A1,African
Chinese,30315,0.217408168,#574752,Asian
Colombian,457,0.192664418,#6b595e,Hispanic/Latino
Dominican,525,0.225225225,#536f91,Hispanic/Latino
English,228,0.159887798,#725d3f,European
German,469,0.166666667,#D99E39,European
Irish,5472988,0.296888568,#405A56,European
Italian,460902,0.252163924,#696935,European
Puerto Rican,553,0.136106325,#363A3D,Hispanic/Latino
Salvadoran,159912,0.198232689,#564e6d,Hispanic/Latino
Polish,7079,0.111111111,#AB4C3C,European
Vietnamese,1828,0.28336692,#365F74,Asian
