GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Afghan
HD02_VD02,Margin of Error; Total: - Afghan
HD01_VD03,Estimate; Total: - Albanian
HD02_VD03,Margin of Error; Total: - Albanian
HD01_VD04,Estimate; Total: - Alsatian
HD02_VD04,Margin of Error; Total: - Alsatian
HD01_VD05,Estimate; Total: - American
HD02_VD05,Margin of Error; Total: - American
HD01_VD06,Estimate; Total: - Arab:
HD02_VD06,Margin of Error; Total: - Arab:
HD01_VD07,Estimate; Total: - Arab: - Egyptian
HD02_VD07,Margin of Error; Total: - Arab: - Egyptian
HD01_VD08,Estimate; Total: - Arab: - Iraqi
HD02_VD08,Margin of Error; Total: - Arab: - Iraqi
HD01_VD09,Estimate; Total: - Arab: - Jordanian
HD02_VD09,Margin of Error; Total: - Arab: - Jordanian
HD01_VD10,Estimate; Total: - Arab: - Lebanese
HD02_VD10,Margin of Error; Total: - Arab: - Lebanese
HD01_VD11,Estimate; Total: - Arab: - Moroccan
HD02_VD11,Margin of Error; Total: - Arab: - Moroccan
HD01_VD12,Estimate; Total: - Arab: - Palestinian
HD02_VD12,Margin of Error; Total: - Arab: - Palestinian
HD01_VD13,Estimate; Total: - Arab: - Syrian
HD02_VD13,Margin of Error; Total: - Arab: - Syrian
HD01_VD14,Estimate; Total: - Arab: - Arab
HD02_VD14,Margin of Error; Total: - Arab: - Arab
HD01_VD15,Estimate; Total: - Arab: - Other Arab
HD02_VD15,Margin of Error; Total: - Arab: - Other Arab
HD01_VD16,Estimate; Total: - Armenian
HD02_VD16,Margin of Error; Total: - Armenian
HD01_VD17,Estimate; Total: - Assyrian/Chaldean/Syriac
HD02_VD17,Margin of Error; Total: - Assyrian/Chaldean/Syriac
HD01_VD18,Estimate; Total: - Australian
HD02_VD18,Margin of Error; Total: - Australian
HD01_VD19,Estimate; Total: - Austrian
HD02_VD19,Margin of Error; Total: - Austrian
HD01_VD20,Estimate; Total: - Basque
HD02_VD20,Margin of Error; Total: - Basque
HD01_VD21,Estimate; Total: - Belgian
HD02_VD21,Margin of Error; Total: - Belgian
HD01_VD22,Estimate; Total: - Brazilian
HD02_VD22,Margin of Error; Total: - Brazilian
HD01_VD23,Estimate; Total: - British
HD02_VD23,Margin of Error; Total: - British
HD01_VD24,Estimate; Total: - Bulgarian
HD02_VD24,Margin of Error; Total: - Bulgarian
HD01_VD25,Estimate; Total: - Cajun
HD02_VD25,Margin of Error; Total: - Cajun
HD01_VD26,Estimate; Total: - Canadian
HD02_VD26,Margin of Error; Total: - Canadian
HD01_VD27,Estimate; Total: - Carpatho Rusyn
HD02_VD27,Margin of Error; Total: - Carpatho Rusyn
HD01_VD28,Estimate; Total: - Celtic
HD02_VD28,Margin of Error; Total: - Celtic
HD01_VD29,Estimate; Total: - Croatian
HD02_VD29,Margin of Error; Total: - Croatian
HD01_VD30,Estimate; Total: - Cypriot
HD02_VD30,Margin of Error; Total: - Cypriot
HD01_VD31,Estimate; Total: - Czech
HD02_VD31,Margin of Error; Total: - Czech
HD01_VD32,Estimate; Total: - Czechoslovakian
HD02_VD32,Margin of Error; Total: - Czechoslovakian
HD01_VD33,Estimate; Total: - Danish
HD02_VD33,Margin of Error; Total: - Danish
HD01_VD34,Estimate; Total: - Dutch
HD02_VD34,Margin of Error; Total: - Dutch
HD01_VD35,Estimate; Total: - Eastern European
HD02_VD35,Margin of Error; Total: - Eastern European
HD01_VD36,Estimate; Total: - English
HD02_VD36,Margin of Error; Total: - English
HD01_VD37,Estimate; Total: - Estonian
HD02_VD37,Margin of Error; Total: - Estonian
HD01_VD38,Estimate; Total: - European
HD02_VD38,Margin of Error; Total: - European
