GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106,HD02_VD106,HD01_VD107,HD02_VD107,HD01_VD108,HD02_VD108,HD01_VD109,HD02_VD109
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Afghan,Margin of Error; Total: - Afghan,Estimate; Total: - Albanian,Margin of Error; Total: - Albanian,Estimate; Total: - Alsatian,Margin of Error; Total: - Alsatian,Estimate; Total: - American,Margin of Error; Total: - American,Estimate; Total: - Arab:,Margin of Error; Total: - Arab:,Estimate; Total: - Arab: - Egyptian,Margin of Error; Total: - Arab: - Egyptian,Estimate; Total: - Arab: - Iraqi,Margin of Error; Total: - Arab: - Iraqi,Estimate; Total: - Arab: - Jordanian,Margin of Error; Total: - Arab: - Jordanian,Estimate; Total: - Arab: - Lebanese,Margin of Error; Total: - Arab: - Lebanese,Estimate; Total: - Arab: - Moroccan,Margin of Error; Total: - Arab: - Moroccan,Estimate; Total: - Arab: - Palestinian,Margin of Error; Total: - Arab: - Palestinian,Estimate; Total: - Arab: - Syrian,Margin of Error; Total: - Arab: - Syrian,Estimate; Total: - Arab: - Arab,Margin of Error; Total: - Arab: - Arab,Estimate; Total: - Arab: - Other Arab,Margin of Error; Total: - Arab: - Other Arab,Estimate; Total: - Armenian,Margin of Error; Total: - Armenian,Estimate; Total: - Assyrian/Chaldean/Syriac,Margin of Error; Total: - Assyrian/Chaldean/Syriac,Estimate; Total: - Australian,Margin of Error; Total: - Australian,Estimate; Total: - Austrian,Margin of Error; Total: - Austrian,Estimate; Total: - Basque,Margin of Error; Total: - Basque,Estimate; Total: - Belgian,Margin of Error; Total: - Belgian,Estimate; Total: - Brazilian,Margin of Error; Total: - Brazilian,Estimate; Total: - British,Margin of Error; Total: - British,Estimate; Total: - Bulgarian,Margin of Error; Total: - Bulgarian,Estimate; Total: - Cajun,Margin of Error; Total: - Cajun,Estimate; Total: - Canadian,Margin of Error; Total: - Canadian,Estimate; Total: - Carpatho Rusyn,Margin of Error; Total: - Carpatho Rusyn,Estimate; Total: - Celtic,Margin of Error; Total: - Celtic,Estimate; Total: - Croatian,Margin of Error; Total: - Croatian,Estimate; Total: - Cypriot,Margin of Error; Total: - Cypriot,Estimate; Total: - Czech,Margin of Error; Total: - Czech,Estimate; Total: - Czechoslovakian,Margin of Error; Total: - Czechoslovakian,Estimate; Total: - Danish,Margin of Error; Total: - Danish,Estimate; Total: - Dutch,Margin of Error; Total: - Dutch,Estimate; Total: - Eastern European,Margin of Error; Total: - Eastern European,Estimate; Total: - English,Margin of Error; Total: - English,Estimate; Total: - Estonian,Margin of Error; Total: - Estonian,Estimate; Total: - European,Margin of Error; Total: - European,Estimate; Total: - Finnish,Margin of Error; Total: - Finnish,Estimate; Total: - French (except Basque),Margin of Error; Total: - French (except Basque),Estimate; Total: - French Canadian,Margin of Error; Total: - French Canadian,Estimate; Total: - German,Margin of Error; Total: - German,Estimate; Total: - German Russian,Margin of Error; Total: - German Russian,Estimate; Total: - Greek,Margin of Error; Total: - Greek,Estimate; Total: - Guyanese,Margin of Error; Total: - Guyanese,Estimate; Total: - Hungarian,Margin of Error; Total: - Hungarian,Estimate; Total: - Icelander,Margin of Error; Total: - Icelander,Estimate; Total: - Iranian,Margin of Error; Total: - Iranian,Estimate; Total: - Irish,Margin of Error; Total: - Irish,Estimate; Total: - Israeli,Margin of Error; Total: - Israeli,Estimate; Total: - Italian,Margin of Error; Total: - Italian,Estimate; Total: - Latvian,Margin of Error; Total: - Latvian,Estimate; Total: - Lithuanian,Margin of Error; Total: - Lithuanian,Estimate; Total: - Luxemburger,Margin of Error; Total: - Luxemburger,Estimate; Total: - Macedonian,Margin of Error; Total: - Macedonian,Estimate; Total: - Maltese,Margin of Error; Total: - Maltese,Estimate; Total: - New Zealander,Margin of Error; Total: - New Zealander,Estimate; Total: - Northern European,Margin of Error; Total: - Northern European,Estimate; Total: - Norwegian,Margin of Error; Total: - Norwegian,Estimate; Total: - Pennsylvania German,Margin of Error; Total: - Pennsylvania German,Estimate; Total: - Polish,Margin of Error; Total: - Polish,Estimate; Total: - Portuguese,Margin of Error; Total: - Portuguese,Estimate; Total: - Romanian,Margin of Error; Total: - Romanian,Estimate; Total: - Russian,Margin of Error; Total: - Russian,Estimate; Total: - Scandinavian,Margin of Error; Total: - Scandinavian,Estimate; Total: - Scotch-Irish,Margin of Error; Total: - Scotch-Irish,Estimate; Total: - Scottish,Margin of Error; Total: - Scottish,Estimate; Total: - Serbian,Margin of Error; Total: - Serbian,Estimate; Total: - Slavic,Margin of Error; Total: - Slavic,Estimate; Total: - Slovak,Margin of Error; Total: - Slovak,Estimate; Total: - Slovene,Margin of Error; Total: - Slovene,Estimate; Total: - Soviet Union,Margin of Error; Total: - Soviet Union,Estimate; Total: - Subsaharan African:,Margin of Error; Total: - Subsaharan African:,Estimate; Total: - Subsaharan African: - Cape Verdean,Margin of Error; Total: - Subsaharan African: - Cape Verdean,Estimate; Total: - Subsaharan African: - Ethiopian,Margin of Error; Total: - Subsaharan African: - Ethiopian,Estimate; Total: - Subsaharan African: - Ghanaian,Margin of Error; Total: - Subsaharan African: - Ghanaian,Estimate; Total: - Subsaharan African: - Kenyan,Margin of Error; Total: - Subsaharan African: - Kenyan,Estimate; Total: - Subsaharan African: - Liberian,Margin of Error; Total: - Subsaharan African: - Liberian,Estimate; Total: - Subsaharan African: - Nigerian,Margin of Error; Total: - Subsaharan African: - Nigerian,Estimate; Total: - Subsaharan African: - Senegalese,Margin of Error; Total: - Subsaharan African: - Senegalese,Estimate; Total: - Subsaharan African: - Sierra Leonean,Margin of Error; Total: - Subsaharan African: - Sierra Leonean,Estimate; Total: - Subsaharan African: - Somalian,Margin of Error; Total: - Subsaharan African: - Somalian,Estimate; Total: - Subsaharan African: - South African,Margin of Error; Total: - Subsaharan African: - South African,Estimate; Total: - Subsaharan African: - Sudanese,Margin of Error; Total: - Subsaharan African: - Sudanese,Estimate; Total: - Subsaharan African: - Ugandan,Margin of Error; Total: - Subsaharan African: - Ugandan,Estimate; Total: - Subsaharan African: - Zimbabwean,Margin of Error; Total: - Subsaharan African: - Zimbabwean,Estimate; Total: - Subsaharan African: - African,Margin of Error; Total: - Subsaharan African: - African,Estimate; Total: - Subsaharan African: - Other Subsaharan African,Margin of Error; Total: - Subsaharan African: - Other Subsaharan African,Estimate; Total: - Swedish,Margin of Error; Total: - Swedish,Estimate; Total: - Swiss,Margin of Error; Total: - Swiss,Estimate; Total: - Turkish,Margin of Error; Total: - Turkish,Estimate; Total: - Ukrainian,Margin of Error; Total: - Ukrainian,Estimate; Total: - Welsh,Margin of Error; Total: - Welsh,Estimate; Total: - West Indian (except Hispanic groups):,Margin of Error; Total: - West Indian (except Hispanic groups):,Estimate; Total: - West Indian (except Hispanic groups): - Bahamian,Margin of Error; Total: - West Indian (except Hispanic groups): - Bahamian,Estimate; Total: - West Indian (except Hispanic groups): - Barbadian,Margin of Error; Total: - West Indian (except Hispanic groups): - Barbadian,Estimate; Total: - West Indian (except Hispanic groups): - Belizean,Margin of Error; Total: - West Indian (except Hispanic groups): - Belizean,Estimate; Total: - West Indian (except Hispanic groups): - Bermudan,Margin of Error; Total: - West Indian (except Hispanic groups): - Bermudan,Estimate; Total: - West Indian (except Hispanic groups): - British West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - British West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - Dutch West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Haitian,Margin of Error; Total: - West Indian (except Hispanic groups): - Haitian,Estimate; Total: - West Indian (except Hispanic groups): - Jamaican,Margin of Error; Total: - West Indian (except Hispanic groups): - Jamaican,Estimate; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Margin of Error; Total: - West Indian (except Hispanic groups): - Trinidadian and Tobagonian,Estimate; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,Margin of Error; Total: - West Indian (except Hispanic groups): - U.S. Virgin Islander,Estimate; Total: - West Indian (except Hispanic groups): - West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - West Indian,Estimate; Total: - West Indian (except Hispanic groups): - Other West Indian,Margin of Error; Total: - West Indian (except Hispanic groups): - Other West Indian,Estimate; Total: - Yugoslavian,Margin of Error; Total: - Yugoslavian,Estimate; Total: - Other groups,Margin of Error; Total: - Other groups,Estimate; Total: - Unclassified or not reported,Margin of Error; Total: - Unclassified or not reported
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",5068,641,0,16,0,16,0,16,96,113,101,139,19,30,0,16,0,16,0,16,0,16,0,16,0,16,0,16,82,135,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,32,51,0,16,0,16,0,16,26,30,115,94,0,16,32,48,0,16,14,21,0,16,210,118,0,16,4,7,0,16,31,36,0,16,0,16,221,147,0,16,136,99,0,16,37,30,0,16,0,16,0,16,0,16,0,16,79,76,0,16,183,108,0,16,0,16,12,20,0,16,16,26,64,57,0,16,0,16,0,16,18,29,0,16,187,160,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,187,160,0,16,55,71,0,16,0,16,11,17,0,16,181,156,35,56,0,16,109,139,0,16,0,16,0,16,0,16,0,16,0,16,0,16,37,59,0,16,0,16,2979,687,228,137
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",7316,809,0,16,0,16,0,16,134,135,193,201,0,16,178,200,0,16,15,24,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,75,85,0,16,0,16,0,16,0,16,0,16,15,26,0,16,24,37,0,16,0,16,0,16,0,16,108,75,0,16,47,37,0,16,7,14,12,19,120,67,0,16,14,22,0,16,0,16,0,16,0,16,269,124,0,16,117,84,0,16,0,16,0,16,0,16,0,16,0,16,0,16,41,37,0,16,55,39,0,16,23,34,60,62,0,16,13,20,27,33,0,16,0,16,0,16,0,16,0,16,675,335,0,16,111,132,0,16,0,16,0,16,387,269,0,16,0,16,0,16,0,16,0,16,0,16,0,16,177,131,0,16,33,32,0,16,0,16,70,111,0,16,313,252,0,16,0,16,114,161,0,16,0,16,0,16,98,104,101,102,0,16,0,16,0,16,0,16,0,16,4683,778,188,116
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",2583,380,0,11,0,11,0,11,39,49,53,61,0,11,26,41,0,11,0,11,27,43,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,0,11,8,17,0,11,0,11,0,11,0,11,9,14,0,11,0,11,58,90,23,36,34,35,0,11,0,11,0,11,28,31,0,11,176,71,0,11,0,11,0,11,0,11,0,11,0,11,190,105,0,11,48,41,0,11,15,23,0,11,0,11,0,11,0,11,0,11,17,26,0,11,42,33,0,11,0,11,42,39,0,11,39,32,40,56,0,11,0,11,0,11,0,11,0,11,266,168,0,11,0,11,0,11,17,27,0,11,42,69,61,97,0,11,0,11,0,11,0,11,0,11,0,11,146,108,0,11,0,11,0,11,0,11,0,11,0,11,100,129,0,11,0,11,15,24,0,11,0,11,0,11,85,127,0,11,0,11,0,11,0,11,0,11,0,11,1142,364,205,92
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",6065,741,0,16,0,16,0,16,77,60,1,2,0,16,0,16,0,16,0,16,0,16,0,16,0,16,1,2,0,16,18,30,0,16,0,16,14,23,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,6,13,0,16,70,93,0,16,6,13,39,59,0,16,152,128,0,16,11,20,20,31,21,28,0,16,280,109,0,16,24,29,0,16,0,16,0,16,0,16,350,166,0,16,171,110,16,26,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,227,98,0,16,100,71,162,101,12,20,31,28,29,36,0,16,0,16,0,16,7,14,0,16,317,176,0,16,42,70,0,16,0,16,0,16,15,24,0,16,0,16,0,16,9,18,0,16,0,16,0,16,251,161,0,16,187,101,0,16,0,16,44,72,0,16,136,88,0,16,0,16,75,69,0,16,0,16,0,16,29,50,32,32,0,16,0,16,0,16,0,16,0,16,2772,799,765,259
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",4694,488,0,11,0,11,0,11,98,51,157,214,0,11,102,160,0,11,34,53,0,11,9,19,0,11,0,11,12,18,52,82,0,11,0,11,23,35,0,11,0,11,59,61,46,43,7,14,0,11,33,52,0,11,0,11,0,11,0,11,22,27,0,11,0,11,11,23,62,63,125,69,0,11,44,39,0,11,58,59,10,20,510,131,0,11,64,60,0,11,20,29,0,11,10,20,459,167,0,11,257,122,14,22,24,28,0,11,0,11,0,11,0,11,0,11,28,35,0,11,340,116,0,11,0,11,56,45,0,11,7,14,65,49,0,11,0,11,12,24,0,11,0,11,125,90,0,11,0,11,0,11,2,4,0,11,27,31,0,11,0,11,0,11,0,11,0,11,0,11,0,11,95,99,1,14,69,64,0,11,27,42,10,19,4,8,24,39,0,11,0,11,0,11,0,11,0,11,0,11,24,39,0,11,0,11,0,11,0,11,0,11,0,11,1347,328,415,134
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",3816,415,0,11,0,11,0,11,137,136,34,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,34,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,23,0,11,0,11,0,11,0,11,24,37,0,11,0,11,14,23,0,11,0,11,73,98,15,27,17,25,0,11,16,25,15,26,15,24,0,11,361,144,0,11,18,27,0,11,0,11,0,11,0,11,280,151,0,11,187,106,0,11,0,11,0,11,0,11,0,11,0,11,20,33,17,27,0,11,214,119,0,11,42,63,34,54,0,11,15,23,0,11,0,11,32,50,0,11,0,11,0,11,440,238,0,11,42,61,92,111,0,11,0,11,69,91,0,11,0,11,0,11,0,11,0,11,0,11,0,11,237,253,0,11,112,89,13,21,0,11,55,84,0,11,37,58,0,11,0,11,0,11,0,11,0,11,0,11,0,11,37,58,0,11,0,11,0,11,0,11,37,58,918,294,609,234
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",3760,608,0,11,0,11,0,11,63,57,29,50,0,11,29,50,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,12,0,11,0,11,18,22,33,55,0,11,13,14,8,12,138,89,0,11,43,50,0,11,15,18,51,79,363,174,0,11,21,26,7,12,13,20,0,11,0,11,408,268,0,11,255,133,0,11,0,11,0,11,35,58,0,11,0,11,0,11,19,32,0,11,120,77,0,11,22,26,65,53,0,11,24,31,52,58,0,11,0,11,0,11,0,11,0,11,215,97,0,11,0,11,117,92,0,11,0,11,15,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,43,38,41,13,21,30,52,0,11,4,7,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,37,1465,598,183,98
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",2325,424,0,11,25,40,0,11,87,80,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,38,50,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,30,9,16,0,11,46,52,0,11,60,71,0,11,28,32,0,11,110,77,0,11,0,11,0,11,9,14,0,11,0,11,321,183,0,11,145,86,0,11,18,22,0,11,0,11,0,11,0,11,0,11,0,11,0,11,105,84,0,11,0,11,18,22,0,11,0,11,30,48,0,11,0,11,0,11,0,11,0,11,52,52,0,11,0,11,0,11,1,3,0,11,15,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,36,45,0,11,7,12,0,11,0,11,23,26,15,23,15,22,0,11,0,11,0,11,0,11,0,11,0,11,1,3,14,22,0,11,0,11,0,11,0,11,0,11,1003,287,139,87
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",6946,660,0,16,0,16,0,16,16,22,40,49,0,16,0,16,0,16,0,16,0,16,13,20,0,16,14,24,13,22,0,16,0,16,0,16,0,16,0,16,0,16,0,16,30,49,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,13,21,15,23,16,27,137,78,0,16,67,52,68,90,82,63,0,16,300,107,0,16,23,28,0,16,30,34,0,16,0,16,463,153,0,16,201,113,25,27,31,53,0,16,0,16,0,16,0,16,0,16,0,16,0,16,87,82,52,82,109,129,117,72,0,16,21,35,25,31,14,22,0,16,16,27,0,16,0,16,494,373,0,16,0,16,66,108,0,16,0,16,50,59,0,16,0,16,0,16,0,16,0,16,0,16,0,16,378,334,0,16,150,85,0,16,0,16,8,15,44,56,484,406,0,16,0,16,127,180,0,16,0,16,0,16,0,16,357,360,0,16,0,16,0,16,0,16,26,40,3548,596,194,113
