GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US170310101001,170310101001,"Block Group 1, Census Tract 101, Cook County, Illinois",421,133,392,118,182,116,191,111,0,11,0,11,0,11,0,11,19,29,19,29,0,11,29,33,29,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US170310101002,170310101002,"Block Group 2, Census Tract 101, Cook County, Illinois",1525,388,1385,357,306,163,1026,361,0,11,2,5,0,11,0,11,51,60,0,11,51,60,140,129,48,63,59,105,0,11,0,11,0,11,33,41,0,11,0,11,0,11
1500000US170310101003,170310101003,"Block Group 3, Census Tract 101, Cook County, Illinois",2243,485,1956,397,1266,322,411,168,0,11,160,225,0,11,15,23,104,86,0,11,104,86,287,290,242,286,0,11,0,11,0,11,0,11,45,40,0,11,0,11,0,11
1500000US170310102011,170310102011,"Block Group 1, Census Tract 102.01, Cook County, Illinois",1716,555,1135,308,430,198,633,273,0,11,62,93,0,11,0,11,10,21,0,11,10,21,581,474,541,470,0,11,0,11,0,11,0,11,17,27,23,36,23,36,0,11
1500000US170310102012,170310102012,"Block Group 2, Census Tract 102.01, Cook County, Illinois",4592,858,3637,791,960,272,2562,754,0,11,66,103,0,11,0,11,49,176,0,11,49,176,955,423,888,407,0,11,0,11,0,11,0,11,14,22,53,66,15,25,38,59
1500000US170310102013,170310102013,"Block Group 3, Census Tract 102.01, Cook County, Illinois",775,239,740,232,344,153,350,194,16,27,20,31,0,11,10,17,0,11,0,11,0,11,35,55,35,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US170310102021,170310102021,"Block Group 1, Census Tract 102.02, Cook County, Illinois",1427,445,974,342,382,171,320,127,0,11,239,287,0,11,0,11,33,49,0,11,33,49,453,317,243,289,28,43,6,11,0,11,18,33,135,130,23,35,23,35,0,11
1500000US170310102022,170310102022,"Block Group 2, Census Tract 102.02, Cook County, Illinois",1075,277,870,224,362,122,480,236,0,11,0,11,0,11,0,11,28,28,17,26,11,10,205,157,112,148,11,16,0,11,9,15,0,11,73,49,0,11,0,11,0,11
1500000US170310103001,170310103001,"Block Group 1, Census Tract 103, Cook County, Illinois",998,352,647,228,503,228,118,78,0,11,21,29,0,11,0,11,5,11,0,11,5,11,351,266,159,130,72,102,0,11,0,11,0,11,120,179,0,11,0,11,0,11
