id,code,name,collection,map_color,group
1,P0010001,Total,sf1,#ffffff,
2,P0030002,White,sf1,#333333,European
3,P0030003,African American,sf1,#5A89A1,African
4,P0030004,American Indian,sf1,#8b9cb3,American Indian
5,P0030005,Asian,sf1,#9297a7,Asian
6,P0030006,Hawaiian/Pacific Islander,sf1,#999099,Hawaiian/Pacific Islander
7,P0030007,Other race,sf1,#9e8b8c,Other race
8,P0030008,More than one race,sf1,#a3857f,Other race
9,P0040003,Hispanic/Latino,sf1,#a67f72,Hispanic/Latino
10,PCT0050002,Indian,sf1,#352B6C,Asian
11,PCT0050003,Bangladeshi,sf1,#a97965,Asian
12,PCT0050004,Bhutanese,sf1,#ab745a,Asian
13,PCT0050005,Burmese,sf1,#ad6d4d,Asian
14,PCT0050006,Cambodian,sf1,#ae6741,Asian
15,PCT0050007,Chinese,sf1,#574752,Asian
16,PCT0050008,Filipino,sf1,#B9A450,Asian
17,PCT0050009,Hmong,sf1,#ad6237,Asian
18,PCT0050010,Indonesian,sf1,#a4613f,Asian
19,PCT0050011,Japanese,sf1,#9a6047,Asian
20,PCT0050012,Korean,sf1,#E0C087,Asian
21,PCT0050013,Laotian,sf1,#8f5e4f,Asian
22,PCT0050014,Malaysian,sf1,#865d55,Asian
23,PCT0050015,Nepalese,sf1,#7b5c5d,Asian
24,PCT0050016,Pakistani,sf1,#6e5b64,Asian
25,PCT0050017,Sri Lankan,sf1,#5f5a6c,Asian
26,PCT0050018,Taiwanese,sf1,#525871,Asian
27,PCT0050019,Thai,sf1,#3e5779,Asian
28,PCT0050020,Vietnamese,sf1,#365F74,Asian
29,PCT0110004,Mexican,sf1,#B87824,Hispanic/Latino
30,PCT0110005,Puerto Rican,sf1,#363A3D,Hispanic/Latino
31,PCT0110006,Cuban,sf1,#567b99,Hispanic/Latino
32,PCT0110007,Dominican,sf1,#536f91,Hispanic/Latino
33,PCT0110009,Costa Rican,sf1,#51648a,Hispanic/Latino
34,PCT0110010,Guatemalan,sf1,#505c83,Hispanic/Latino
35,PCT0110011,Honduran,sf1,#50567d,Hispanic/Latino
36,PCT0110012,Nicaraguan,sf1,#515277,Hispanic/Latino
37,PCT0110013,Panamanian,sf1,#534f72,Hispanic/Latino
38,PCT0110014,Salvadoran,sf1,#564e6d,Hispanic/Latino
39,PCT0110017,Argentinean,sf1,#5a4e69,Hispanic/Latino
40,PCT0110018,Bolivian,sf1,#5f5065,Hispanic/Latino
41,PCT0110019,Chilean,sf1,#645461,Hispanic/Latino
42,PCT0110020,Colombian,sf1,#6b595e,Hispanic/Latino
43,PCT0110021,Ecuadorian,sf1,#735f5c,Hispanic/Latino
44,PCT0110022,Paraguayan,sf1,#7c675a,Hispanic/Latino
45,PCT0110023,Peruvian,sf1,#867058,Hispanic/Latino
46,PCT0110024,Uruguayan,sf1,#917b56,Hispanic/Latino
47,PCT0110025,Venezuelan,sf1,#9d8754,Hispanic/Latino
48,PCT0110029,Spanish,sf1,#aa9552,European
49,B04006_002E,Afghan,acs5,#b9a450,Middle Eastern
50,B04006_003E,Albanian,acs5,#e0c087,European
51,B04006_007E,Egyptian,acs5,#dbb478,Middle Eastern
52,B04006_008E,Iraqi,acs5,#d5a968,Middle Eastern
53,B04006_010E,Lebanese,acs5,#cf9d59,Middle Eastern
54,B04006_011E,Moroccan,acs5,#c8924a,Middle Eastern
55,B04006_012E,Palestinian,acs5,#c1873a,Middle Eastern
56,B04006_013E,Syrian,acs5,#ba7c2a,Middle Eastern
57,B04006_016E,Armenian,acs5,#aa7129,Middle Eastern
58,B04006_019E,Austrian,acs5,#96672f,European
59,B04006_022E,Brazilian,acs5,#825d33,Hispanic/Latino
60,B04006_025E,Cajun,acs5,#6e5337,European
61,B04006_029E,Croatian,acs5,#5a4a3a,European
62,B04006_031E,Czech,acs5,#45403c,European
63,B04006_033E,Danish,acs5,#3f3f3e,European
64,B04006_034E,Dutch,acs5,#584d3f,European
65,B04006_036E,English,acs5,#725d3f,European
66,B04006_039E,Finnish,acs5,#8b6c3f,European
67,B04006_040E,French,acs5,#a47d3e,European
68,B04006_041E,French Canadian,acs5,#be8d3c,European
69,B04006_042E,German,acs5,#D99E39,European
70,B04006_044E,Greek,acs5,#1F1C2D,European
71,B04006_045E,Guyanese,acs5,#d99e39,Hispanic/Latino
72,B04006_046E,Hungarian,acs5,#1f1c2d,European
73,B04006_048E,Iranian,acs5,#232332,Middle Eastern
74,B04006_049E,Irish,acs5,#405A56,European
75,B04006_050E,Israeli,acs5,#272a37,Middle Eastern
76,B04006_051E,Italian,acs5,#696935,European
77,B04006_053E,Lithuanian,acs5,#2b323c,European
78,B04006_059E,Norwegian,acs5,#303941,European
79,B04006_060E,Pennsylvania German,acs5,#334145,European
80,B04006_061E,Polish,acs5,#AB4C3C,European
81,B04006_062E,Portuguese,acs5,#37494b,European
82,B04006_063E,Romanian,acs5,#8B9CB3,European
83,B04006_064E,Russian,acs5,#AF6235,European
84,B04006_067E,Scottish,acs5,#3b5150,European
85,B04006_070E,Slovak,acs5,#3f5955,European
86,B04006_074E,Cape Verdean,acs5,#4f5e4c,African
87,B04006_075E,Ethiopian,acs5,#60653e,African
88,B04006_076E,Ghanaian,acs5,#ab4c3c,African
89,B04006_079E,Nigerian,acs5,#7d6a53,African
90,B04006_082E,Somali,acs5,#806c53,African
91,B04006_084E,Sudanese,acs5,#846f53,African
92,B04006_089E,Swedish,acs5,#877353,European
93,B04006_090E,Swiss,acs5,#8b7753,European
94,B04006_091E,Turkish,acs5,#8e7953,Middle Eastern
95,B04006_092E,Ukrainian,acs5,#3E5779,European
96,B04006_093E,Welsh,acs5,#927d53,European
97,B04006_101E,Haitian,acs5,#958153,African
98,B04006_102E,Jamaican,acs5,#695653,African
