state,state_long,state_fips,county_fips,county,fips_type
AL,Alabama,1,1,Autauga County,H1
AL,Alabama,1,3,Baldwin County,H1
AL,Alabama,1,5,Barbour County,H1
AL,Alabama,1,7,Bibb County,H1
AL,Alabama,1,9,Blount County,H1
AL,Alabama,1,11,Bullock County,H1
AL,Alabama,1,13,Butler County,H1
AL,Alabama,1,15,Calhoun County,H1
AL,Alabama,1,17,Chambers County,H1
AL,Alabama,1,19,Cherokee County,H1
AL,Alabama,1,21,Chilton County,H1
AL,Alabama,1,23,Choctaw County,H1
AL,Alabama,1,25,Clarke County,H1
AL,Alabama,1,27,Clay County,H1
AL,Alabama,1,29,Cleburne County,H1
AL,Alabama,1,31,Coffee County,H1
AL,Alabama,1,33,Colbert County,H1
AL,Alabama,1,35,Conecuh County,H1
AL,Alabama,1,37,Coosa County,H1
AL,Alabama,1,39,Covington County,H1
AL,Alabama,1,41,Crenshaw County,H1
AL,Alabama,1,43,Cullman County,H1
AL,Alabama,1,45,Dale County,H1
AL,Alabama,1,47,Dallas County,H1
AL,Alabama,1,49,DeKalb County,H1
AL,Alabama,1,51,Elmore County,H1
AL,Alabama,1,53,Escambia County,H1
AL,Alabama,1,55,Etowah County,H1
AL,Alabama,1,57,Fayette County,H1
AL,Alabama,1,59,Franklin County,H1
AL,Alabama,1,61,Geneva County,H1
AL,Alabama,1,63,Greene County,H1
AL,Alabama,1,65,Hale County,H1
AL,Alabama,1,67,Henry County,H1
AL,Alabama,1,69,Houston County,H1
AL,Alabama,1,71,Jackson County,H1
AL,Alabama,1,73,Jefferson County,H1
AL,Alabama,1,75,Lamar County,H1
AL,Alabama,1,77,Lauderdale County,H1
AL,Alabama,1,79,Lawrence County,H1
AL,Alabama,1,81,Lee County,H1
AL,Alabama,1,83,Limestone County,H1
AL,Alabama,1,85,Lowndes County,H1
AL,Alabama,1,87,Macon County,H1
AL,Alabama,1,89,Madison County,H1
AL,Alabama,1,91,Marengo County,H1
AL,Alabama,1,93,Marion County,H1
AL,Alabama,1,95,Marshall County,H1
AL,Alabama,1,97,Mobile County,H1
AL,Alabama,1,99,Monroe County,H1
AL,Alabama,1,101,Montgomery County,H1
AL,Alabama,1,103,Morgan County,H1
AL,Alabama,1,105,Perry County,H1
AL,Alabama,1,107,Pickens County,H1
AL,Alabama,1,109,Pike County,H1
AL,Alabama,1,111,Randolph County,H1
AL,Alabama,1,113,Russell County,H1
AL,Alabama,1,115,St. Clair County,H1
AL,Alabama,1,117,Shelby County,H1
AL,Alabama,1,119,Sumter County,H1
AL,Alabama,1,121,Talladega County,H1
AL,Alabama,1,123,Tallapoosa County,H1
AL,Alabama,1,125,Tuscaloosa County,H1
AL,Alabama,1,127,Walker County,H1
AL,Alabama,1,129,Washington County,H1
AL,Alabama,1,131,Wilcox County,H1
AL,Alabama,1,133,Winston County,H1
AK,Alaska,2,13,Aleutians East Borough,H1
AK,Alaska,2,16,Aleutians West Census Area,H5
AK,Alaska,2,20,Anchorage Municipality,H6
AK,Alaska,2,50,Bethel Census Area,H5
AK,Alaska,2,60,Bristol Bay Borough,H1
AK,Alaska,2,68,Denali Borough,H1
AK,Alaska,2,70,Dillingham Census Area,H5
AK,Alaska,2,90,Fairbanks North Star Borough,H1
AK,Alaska,2,100,Haines Borough,H1
AK,Alaska,2,105,Hoonah-Angoon Census Area,H5
AK,Alaska,2,110,Juneau City and Borough,H6
AK,Alaska,2,122,Kenai Peninsula Borough,H1
AK,Alaska,2,130,Ketchikan Gateway Borough,H1
AK,Alaska,2,150,Kodiak Island Borough,H1
AK,Alaska,2,164,Lake and Peninsula Borough,H1
AK,Alaska,2,170,Matanuska-Susitna Borough,H1
AK,Alaska,2,180,Nome Census Area,H5
AK,Alaska,2,185,North Slope Borough,H1
AK,Alaska,2,188,Northwest Arctic Borough,H1
AK,Alaska,2,195,Petersburg Census Area,H5
AK,Alaska,2,198,Prince of Wales-Hyder Census Area,H5
AK,Alaska,2,220,Sitka City and Borough,H6
AK,Alaska,2,230,Skagway Municipality,H1
AK,Alaska,2,240,Southeast Fairbanks Census Area,H5
AK,Alaska,2,261,Valdez-Cordova Census Area,H5
AK,Alaska,2,270,Wade Hampton Census Area,H5
AK,Alaska,2,275,Wrangell City and Borough,H1
AK,Alaska,2,282,Yakutat City and Borough,H1
AK,Alaska,2,290,Yukon-Koyukuk Census Area,H5
AZ,Arizona,4,1,Apache County,H1
AZ,Arizona,4,3,Cochise County,H1
AZ,Arizona,4,5,Coconino County,H1
AZ,Arizona,4,7,Gila County,H1
AZ,Arizona,4,9,Graham County,H1
AZ,Arizona,4,11,Greenlee County,H1
AZ,Arizona,4,12,La Paz County,H1
AZ,Arizona,4,13,Maricopa County,H1
AZ,Arizona,4,15,Mohave County,H1
AZ,Arizona,4,17,Navajo County,H1
AZ,Arizona,4,19,Pima County,H1
AZ,Arizona,4,21,Pinal County,H1
AZ,Arizona,4,23,Santa Cruz County,H1
AZ,Arizona,4,25,Yavapai County,H1
AZ,Arizona,4,27,Yuma County,H1
AR,Arkansas,5,1,Arkansas County,H1
AR,Arkansas,5,3,Ashley County,H1
AR,Arkansas,5,5,Baxter County,H1
AR,Arkansas,5,7,Benton County,H1
AR,Arkansas,5,9,Boone County,H1
AR,Arkansas,5,11,Bradley County,H1
AR,Arkansas,5,13,Calhoun County,H1
AR,Arkansas,5,15,Carroll County,H1
AR,Arkansas,5,17,Chicot County,H1
AR,Arkansas,5,19,Clark County,H1
AR,Arkansas,5,21,Clay County,H1
AR,Arkansas,5,23,Cleburne County,H1
AR,Arkansas,5,25,Cleveland County,H1
AR,Arkansas,5,27,Columbia County,H1
AR,Arkansas,5,29,Conway County,H1
AR,Arkansas,5,31,Craighead County,H1
AR,Arkansas,5,33,Crawford County,H1
AR,Arkansas,5,35,Crittenden County,H1
AR,Arkansas,5,37,Cross County,H1
AR,Arkansas,5,39,Dallas County,H1
AR,Arkansas,5,41,Desha County,H1
AR,Arkansas,5,43,Drew County,H1
AR,Arkansas,5,45,Faulkner County,H1
AR,Arkansas,5,47,Franklin County,H1
AR,Arkansas,5,49,Fulton County,H1
AR,Arkansas,5,51,Garland County,H1
AR,Arkansas,5,53,Grant County,H1
AR,Arkansas,5,55,Greene County,H1
AR,Arkansas,5,57,Hempstead County,H1
AR,Arkansas,5,59,Hot Spring County,H1
AR,Arkansas,5,61,Howard County,H1
AR,Arkansas,5,63,Independence County,H1
AR,Arkansas,5,65,Izard County,H1
AR,Arkansas,5,67,Jackson County,H1
AR,Arkansas,5,69,Jefferson County,H1
AR,Arkansas,5,71,Johnson County,H1
AR,Arkansas,5,73,Lafayette County,H1
AR,Arkansas,5,75,Lawrence County,H1
AR,Arkansas,5,77,Lee County,H1
AR,Arkansas,5,79,Lincoln County,H1
AR,Arkansas,5,81,Little River County,H1
AR,Arkansas,5,83,Logan County,H1
AR,Arkansas,5,85,Lonoke County,H1
AR,Arkansas,5,87,Madison County,H1
AR,Arkansas,5,89,Marion County,H1
AR,Arkansas,5,91,Miller County,H1
AR,Arkansas,5,93,Mississippi County,H1
AR,Arkansas,5,95,Monroe County,H1
AR,Arkansas,5,97,Montgomery County,H1
AR,Arkansas,5,99,Nevada County,H1
AR,Arkansas,5,101,Newton County,H1
AR,Arkansas,5,103,Ouachita County,H1
AR,Arkansas,5,105,Perry County,H1
AR,Arkansas,5,107,Phillips County,H1
AR,Arkansas,5,109,Pike County,H1
AR,Arkansas,5,111,Poinsett County,H1
AR,Arkansas,5,113,Polk County,H1
AR,Arkansas,5,115,Pope County,H1
AR,Arkansas,5,117,Prairie County,H1
AR,Arkansas,5,119,Pulaski County,H1
AR,Arkansas,5,121,Randolph County,H1
AR,Arkansas,5,123,St. Francis County,H1
AR,Arkansas,5,125,Saline County,H1
AR,Arkansas,5,127,Scott County,H1
AR,Arkansas,5,129,Searcy County,H1
AR,Arkansas,5,131,Sebastian County,H1
