largest_community_name,membership,avg_plurality
African American,1120135,0.491624619623353
Chinese,16733,0.434557852804495
Filipino,1019,0.0850004704763478
German,216802,0.218633805393376
Greek,823,0.11362604620004
Indian,11285,0.180954071324766
Irish,152487,0.254300615962565
Italian,6808,0.245686966369006
Korean,2013,0.149280481776934
Mexican,700076,0.394559041403888
Polish,139568,0.231790485973899
Puerto Rican,7002,0.275729742878759
Romanian,266,0.101371951219512
Russian,6028,0.154365165631526
Ukrainian,596,0.173356602675974
