b04001_code,b04001_description,b04001_short,b03002_code,b03002_description,,b03002_short
HD01_VD01,Estimate; Total:,total,HD01_VD01,Estimate; Total:,,total
HD01_VD02,Estimate; Total: - Afghan,Afghan,HD01_VD06,Estimate; Not Hispanic or Latino: - Asian alone,,Asian
HD01_VD03,Estimate; Total: - Albanian,Albanian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD04,Estimate; Total: - Alsatian,Alsatian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD05,Estimate; Total: - American,American,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD06,Estimate; Total: - Arab:,Arab,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD14,Estimate; Total: - Arab: - Arab,Saudi,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD07,Estimate; Total: - Arab: - Egyptian,Egyptian,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD08,Estimate; Total: - Arab: - Iraqi,Iraqi,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD09,Estimate; Total: - Arab: - Jordanian,Jordanian,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD10,Estimate; Total: - Arab: - Lebanese,Lebanese,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD11,Estimate; Total: - Arab: - Moroccan,Moroccan,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD15,Estimate; Total: - Arab: - Other Arab,Other Arab,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD12,Estimate; Total: - Arab: - Palestinian,Palestinian,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD13,Estimate; Total: - Arab: - Syrian,Syrian,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD16,Estimate; Total: - Armenian,Armenian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD17,Estimate; Total: - Assyrian/Chaldean/Syriac,Assyrian,HD01_VD08,Estimate; Not Hispanic or Latino: - Some other race alone,,Other
HD01_VD18,Estimate; Total: - Australian,Australian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD19,Estimate; Total: - Austrian,Austrian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD20,Estimate; Total: - Basque,Basque,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD21,Estimate; Total: - Belgian,Belgian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD22,Estimate; Total: - Brazilian,Brazilian,HD01_VD12,Estimate; Hispanic or Latino:,,Hispanic or Latino:
HD01_VD23,Estimate; Total: - British,British,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD24,Estimate; Total: - Bulgarian,Bulgarian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD25,Estimate; Total: - Cajun,Cajun,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD26,Estimate; Total: - Canadian,Canadian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD27,Estimate; Total: - Carpatho Rusyn,Carpatho Rusyn,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD28,Estimate; Total: - Celtic,Celtic,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD29,Estimate; Total: - Croatian,Croatian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD30,Estimate; Total: - Cypriot,Cypriot,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD31,Estimate; Total: - Czech,Czech,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
HD01_VD32,Estimate; Total: - Czechoslovakian,Czechoslovakian,HD01_VD03,Estimate; Not Hispanic or Latino: - White alone,,White
